link_code,sgg_cd,emd_cd,node_wkt,tp_br,tp_pk,tp_sw,link_id,type,sgg_nm,tp_in,tp_uw,node_id,tp_tn,tp_hw,emd_nm,node_code,end_node_id,link_wkt,link_len,tp_cw,strt_node_id
1111,1117000000,1117013600,,0,0,0,103001,LINK,⑹궛援,0,0,0,0,0,蹂닿킅,,177859,"LINESTRING(126.99802381458251 37.52608845166575,126.99880139887382 37.52614003814069)",68.972,0,161775
1111,1117000000,1117013100,,0,0,0,138692,LINK,⑹궛援,0,0,0,0,0,쒕궓,,169617,"LINESTRING(127.00116815801357 37.54022730798026,127.00125046211927 37.540238230042554,127.00147450913975 37.54010715259454,127.00165740605058 37.540088945326836)",48.235,0,66248
1111,1117000000,1117013100,,0,0,0,262659,LINK,⑹궛援,0,0,0,0,0,쒕궓,,176587,"LINESTRING(127.00175986122372 37.538444734617684,127.00165470644617 37.53816645581844)",32.253,0,176535
1000,1117000000,1117013100,,0,1,0,126334,LINK,⑹궛援,0,1,0,1,0,쒕궓,,214568,"LINESTRING(127.00681089936788 37.528950069388436,127.0067609024346 37.52908914560361)",16.056,0,214651
1111,1117000000,1117010100,,0,0,0,267110,LINK,⑹궛援,0,0,0,0,0,꾩븫,,64306,"LINESTRING(126.98223781541016 37.54990602312128,126.98173923910473 37.54983766086833)",44.706,0,64307
1111,1117000000,1117010100,,0,0,0,107761,LINK,⑹궛援,0,0,0,0,0,꾩븫,,67072,"LINESTRING(126.98298853840369 37.5471210376114,126.98310431078632 37.54720432646358,126.98317154912804 37.54718351800781,126.98322386395583 37.54708538318017)",31.996,0,67071
1111,1117000000,1117010800,,0,0,0,262687,LINK,⑹궛援,0,0,0,0,0,쒓퀎,,143193,"LINESTRING(126.9630171233129 37.551480244385004,126.96306972922848 37.55134083354132,126.96350069191472 37.551014707629)",68.696,0,74281
1111,1117000000,1117012900,,0,0,0,139263,LINK,⑹궛援,0,0,0,0,0,댁큿,,65362,"LINESTRING(126.98070137785935 37.5195413716425,126.98055947443649 37.519153551548854)",44.834,0,65361
1111,1117000000,1117010200,,0,0,0,255481,LINK,⑹궛援,0,0,0,0,0,⑹궛2媛,,65662,"LINESTRING(126.98706329684514 37.541075589009644,126.98734401295778 37.54092883812708)",29.678,0,143736
1111,1117000000,1117010200,,0,0,0,123754,LINK,⑹궛援,0,0,0,0,0,⑹궛2媛,,74733,"LINESTRING(126.98461913067119 37.54521411344489,126.9847521383078 37.54515570561704)",13.423,0,74736
1111,1117000000,1117013100,,0,0,0,27339,LINK,⑹궛援,0,0,0,0,0,쒕궓,,158845,"LINESTRING(126.99816789948528 37.53672026632582,126.99820698882353 37.53682143839607,126.99858918823989 37.53727436114547)",72.312,0,158306
1111,1117000000,1117011400,,0,0,0,125496,LINK,⑹궛援,0,0,0,0,0,좎갹,,152692,"LINESTRING(126.9541635534767 37.53512452837469,126.95429294058731 37.53509882259505,126.95476390981366 37.535137637831184)",53.635,0,62956
1111,1117000000,1117012300,,0,0,0,268830,LINK,⑹궛援,0,0,0,0,0,좉퀎,,162848,"LINESTRING(126.9666585008037 37.53455929086261,126.96687966750788 37.53455935309693)",19.548,0,162849
1111,1117000000,1117010400,,0,0,0,128772,LINK,⑹궛援,0,0,0,0,0,媛덉썡,,64720,"LINESTRING(126.97179068835555 37.54199102748624,126.97194593203567 37.54202434820507)",14.209,0,64719
1111,1117000000,1117010500,,0,0,0,262677,LINK,⑹궛援,0,0,0,0,0,⑥쁺,,42646,"LINESTRING(126.97383665619725 37.54376219641237,126.97408892998854 37.54272525688321)",117.227,0,42636
1111,1117000000,1117010900,,0,0,0,137563,LINK,⑹궛援,0,0,0,0,0,泥뙆1媛,,143254,"LINESTRING(126.96686759163777 37.55015003055231,126.9668578473566 37.550633122980436)",53.624,0,141972
1111,1117000000,1117011500,,0,0,0,255814,LINK,⑹궛援,0,0,0,0,0,곗쿇,,151948,"LINESTRING(126.95265052660906 37.53502511566858,126.95265052660906 37.53502511566858,126.95281072460791 37.53514347261,126.9530530278442 37.5352400712184,126.95324847105871 37.53525882656581,126.95343025768832 37.5352371076101)",76.909,0,151947
